Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Product ID,Product Name
Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,503.96,4,0.0,125.99,TEC-PH-10002597,Xblue XB-1670-86 X16 Small Office Telephone - Titanium
Standard Class,Consumer,United States,Midland,Michigan,48640,Central,Office Supplies,Binders,12.72,3,0.0,6.36,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders
Standard Class,Consumer,United States,Midland,Michigan,48640,Central,Office Supplies,Binders,11.52,4,0.0,5.6448,OFF-BI-10000546,Avery Durable Binders
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Technology,Accessories,316.0,4,0.0,31.6,TEC-AC-10001142,First Data FD10 PIN Pad
Second Class,Home Office,United States,Roswell,Georgia,30076,South,Furniture,Chairs,723.92,4,0.0,188.2192,FUR-CH-10000785,Global Ergonomic Managers Chair
Second Class,Home Office,United States,Roswell,Georgia,30076,South,Office Supplies,Paper,106.32,3,0.0,49.9704,OFF-PA-10000474,Easy-staple paper
First Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Bookcases,141.372,2,0.3,-14.1372,FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled"
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Paper,27.216,3,0.2,9.8658,OFF-PA-10004156,Xerox 188
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,390.75,5,0.0,171.93,TEC-AC-10001432,Enermax Aurora Lite Keyboard
First Class,Home Office,United States,Peoria,Arizona,85345,West,Furniture,Chairs,280.792,1,0.2,35.099,FUR-CH-10001394,Global Leather Executive Chair
First Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Storage,68.448,4,0.2,7.7004,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black"
First Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Art,88.04,5,0.2,6.603,OFF-AR-10002956,Boston 16801 Nautilus Battery Pencil Sharpener
First Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Art,15.872,1,0.2,1.984,OFF-AR-10001955,Newell 319
First Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Storage,215.592,3,0.2,-48.5082,OFF-ST-10001809,Fellowes Officeware Wire Shelving
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,OFF-LA-10004093,Avery 486
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Appliances,416.32,2,0.0,112.4064,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Binders,43.0,5,0.0,20.21,OFF-BI-10000404,Avery Printable Repositionable Plastic Tabs
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Furniture,Chairs,182.94,3,0.0,27.441,FUR-CH-10003833,Novimex Fabric Task Chair
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Binders,60.83,7,0.0,30.415,OFF-BI-10002072,Cardinal Slant-D Ring Binders
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Technology,Accessories,389.97,3,0.0,132.5898,TEC-AC-10003095,Logitech G35 7.1-Channel Surround Sound Headset
First Class,Consumer,United States,Richmond,Virginia,23223,South,Office Supplies,Appliances,194.32,4,0.0,56.3528,OFF-AP-10001563,Belkin Premiere Surge Master II 8-outlet surge protector
Standard Class,Corporate,United States,Seattle,Washington,98115,West,Technology,Accessories,265.93,7,0.0,63.8232,TEC-AC-10000358,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,94.74,3,0.0,44.5278,OFF-BI-10004492,Tuf-Vin Binders
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,60.64,4,0.0,27.8944,OFF-BI-10001072,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack"
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,76.3,5,0.0,38.15,OFF-BI-10003707,Aluminum Screw Posts
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,364.8,12,0.0,167.808,OFF-BI-10000977,Ibico Plastic Spiral Binding Combs
Second Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Binders,79.872,3,0.2,29.952,OFF-BI-10002082,GBC Twin Loop Wire Binding Elements
Second Class,Corporate,United States,New York City,New York,10035,East,Furniture,Bookcases,46.384,1,0.2,1.1596,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
Second Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,12.96,2,0.0,6.2208,OFF-PA-10002365,Xerox 1967
First Class,Home Office,United States,Fort Collins,Colorado,80525,West,Office Supplies,Envelopes,14.352,3,0.2,5.2026,OFF-EN-10004147,Wausau Papers Astrobrights Colored Envelopes
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,547.136,4,0.2,-68.392,FUR-FU-10001468,Tenex Antistatic Computer Chair Mats
Second Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Storage,41.96,2,0.0,2.9372,OFF-ST-10000642,"Tennsco Lockers, Gray"
Second Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Paper,41.7,5,0.0,20.85,OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages"
Standard Class,Consumer,United States,Lafayette,Indiana,47905,Central,Office Supplies,Paper,277.4,5,0.0,133.152,OFF-PA-10004071,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box"
Standard Class,Consumer,United States,Lafayette,Indiana,47905,Central,Office Supplies,Paper,5.78,1,0.0,2.8322,OFF-PA-10004971,Xerox 196
Standard Class,Consumer,United States,Clarksville,Tennessee,37042,South,Office Supplies,Appliances,69.216,6,0.2,11.2476,OFF-AP-10000696,Holmes Odor Grabber
Same Day,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Envelopes,10.86,3,0.0,5.1042,OFF-EN-10004030,Convenience Packs of Business Envelopes
Same Day,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Appliances,426.79,7,0.0,123.7691,OFF-AP-10000026,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection
Same Day,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,25.92,4,0.0,12.4416,OFF-PA-10003936,Xerox 1994
Same Day,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,45.92,4,0.0,22.5008,OFF-PA-10004530,Personal Creations Ink Jet Cards and Labels
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Art,10.72,2,0.2,1.742,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip
Standard Class,Consumer,United States,Warner Robins,Georgia,31088,South,Office Supplies,Art,41.86,7,0.0,10.465,OFF-AR-10004999,Newell 315
First Class,Home Office,United States,Franklin,Massachusetts,2038,East,Furniture,Furnishings,63.2,5,0.0,23.384,FUR-FU-10002501,Nu-Dell Executive Frame
First Class,Home Office,United States,Franklin,Massachusetts,2038,East,Technology,Accessories,113.97,3,0.0,27.3528,TEC-AC-10000358,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB
Second Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,123.552,3,0.2,-29.3436,OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black"
Standard Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Office Supplies,Appliances,490.32,9,0.0,137.2896,OFF-AP-10001205,Belkin 5 Outlet SurgeMaster Power Centers
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Paper,70.08,5,0.2,24.528,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page"
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,1.272,2,0.8,-2.1624,OFF-BI-10004141,Insertable Tab Indexes For Data Binders
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Tables,557.585,5,0.3,0.0,FUR-TA-10004619,Hon Non-Folding Utility Tables
Same Day,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Binders,9.024,6,0.2,3.1584,OFF-BI-10004187,3-ring staple pack
Same Day,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Binders,69.456,2,0.2,22.5732,OFF-BI-10000632,Satellite Sectional Post Binders
Same Day,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Paper,10.86,2,0.0,5.3214,OFF-PA-10003724,"Wirebound Message Book, 4 per Page"
Same Day,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,79.47,3,0.0,22.2516,OFF-AP-10002765,Fellowes Advanced Computer Series Surge Protectors
Same Day,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Art,10.08,6,0.0,5.04,OFF-AR-10001868,Prang Dustless Chalk Sticks
First Class,Corporate,United States,San Francisco,California,94122,West,Furniture,Bookcases,1552.831,7,0.15,200.9546,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
First Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Binders,137.24,5,0.2,46.3185,OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers
First Class,Corporate,United States,San Francisco,California,94122,West,Technology,Accessories,36.51,1,0.0,15.6993,TEC-AC-10004864,Memorex Micro Travel Drive 32 GB
First Class,Corporate,United States,San Francisco,California,94122,West,Technology,Machines,239.976,3,0.2,80.9919,TEC-MA-10000597,Lexmark S315 Color Inkjet Printer
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,1579.746,7,0.4,-447.5947,FUR-TA-10003473,Bretford Rectangular Conference Table Tops
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,1071.576,4,0.4,-553.6476,FUR-TA-10001950,Balt Solid Wood Round Tables
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,613.908,3,0.4,-122.7816,FUR-TA-10004175,"Hon 30"" x 60"" Table with Locking Drawer"
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Paper,34.86,7,0.0,16.3842,OFF-PA-10002960,Xerox 1926
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Paper,155.04,4,0.0,75.9696,OFF-PA-10000919,Xerox 1918
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,13.71,5,0.7,-10.054,OFF-BI-10001553,SpineVue Locking Slant-D Ring Binders by Cardinal
Standard Class,Home Office,United States,Waynesboro,Virginia,22980,South,Furniture,Furnishings,127.88,2,0.0,40.9216,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock"
Standard Class,Home Office,United States,Waynesboro,Virginia,22980,South,Office Supplies,Appliances,160.32,2,0.0,44.8896,OFF-AP-10004540,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue"
Standard Class,Home Office,United States,Waynesboro,Virginia,22980,South,Office Supplies,Binders,46.0,4,0.0,20.7,OFF-BI-10004965,Ibico Covers for Plastic or Wire Binding Elements
Second Class,Consumer,United States,Sacramento,California,95823,West,Furniture,Chairs,120.712,1,0.2,-18.1068,FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy"
First Class,Consumer,United States,Clinton,Maryland,20735,East,Office Supplies,Paper,23.12,4,0.0,11.3288,OFF-PA-10002464,HP Office Recycled Paper (20Lb. and 87 Bright)
Standard Class,Corporate,United States,Fairfield,Ohio,45014,East,Furniture,Furnishings,532.704,6,0.2,-26.6352,FUR-FU-10002298,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle"
Standard Class,Corporate,United States,Fairfield,Ohio,45014,East,Office Supplies,Art,4.912,2,0.2,0.307,OFF-AR-10000315,"Dixon Ticonderoga Maple Cedar Pencil, #2"
Second Class,Corporate,United States,Warwick,Rhode Island,2886,East,Technology,Accessories,252.0,4,0.0,93.24,TEC-AC-10004353,Hypercom P1300 Pinpad
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Furnishings,60.288,8,0.6,-27.1296,FUR-FU-10004973,Flat Face Poster Frame
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Office Supplies,Fasteners,2.632,1,0.2,0.8225,OFF-FA-10000936,Acco Hot Clips Clips to Go
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Office Supplies,Paper,23.688,9,0.2,7.6986,OFF-PA-10001609,Tops Wirebound Message Log Books
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Chairs,253.372,2,0.3,-14.4784,FUR-CH-10000785,Global Ergonomic Managers Chair
Standard Class,Consumer,United States,Smyrna,Georgia,30080,South,Office Supplies,Fasteners,5.67,3,0.0,0.1134,OFF-FA-10000053,Revere Boxed Rubber Bands by Revere
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,76.776,4,0.7,-58.8616,OFF-BI-10001718,GBC DocuBind P50 Personal Binding Machine
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Supplies,9.184,2,0.2,1.148,OFF-SU-10004768,Acme Kleencut Forged Steel Scissors
Standard Class,Home Office,United States,Thousand Oaks,California,91360,West,Office Supplies,Paper,32.75,5,0.0,15.065,OFF-PA-10003883,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5"""
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Office Supplies,Fasteners,7.216,2,0.2,1.7138,OFF-FA-10004248,Advantus T-Pin Paper Clips
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Office Supplies,Paper,49.568,2,0.2,15.49,OFF-PA-10002581,Xerox 1951
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Furniture,Furnishings,54.712,7,0.2,11.6263,FUR-FU-10004848,DAX Solid Wood Frames
First Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Appliances,176.04,4,0.0,45.7704,OFF-AP-10002403,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors
First Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Art,16.02,9,0.0,4.4856,OFF-AR-10003087,Staples in misc. colors
First Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Binders,185.92,4,0.2,62.748,OFF-BI-10002026,Avery Arch Ring Binders
First Class,Consumer,United States,Fresno,California,93727,West,Technology,Phones,211.168,4,0.2,15.8376,TEC-PH-10000141,Clearsounds A400
First Class,Consumer,United States,Fresno,California,93727,West,Technology,Copiers,479.984,2,0.2,59.998,TEC-CO-10000971,Hewlett Packard 310 Color Digital Copier
First Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Fasteners,7.86,2,0.0,3.6156,OFF-FA-10001229,Staples
First Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Binders,24.448,2,0.2,8.8624,OFF-BI-10002437,Recycled Premium Regency Composition Covers
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,6.48,1,0.0,3.1104,OFF-PA-10004255,Xerox 219
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,41.86,7,0.0,20.5114,OFF-PA-10001184,Xerox 1903
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,1619.91,9,0.0,97.1946,TEC-AC-10002637,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black)
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Furnishings,113.92,4,0.0,42.1504,FUR-FU-10002878,"Seth Thomas 14"" Day/Date Wall Clock"
Standard Class,Consumer,United States,Malden,Massachusetts,2148,East,Office Supplies,Art,39.68,2,0.0,10.3168,OFF-AR-10000588,Newell 345
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Accessories,37.6,2,0.0,2.256,TEC-AC-10002217,Imation Clip USB flash drive - 8 GB
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Accessories,59.9,2,0.0,23.96,TEC-AC-10001267,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...
Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,37.0,5,0.0,16.65,OFF-PA-10004041,"It's Hot Message Books with Stickers, 2 3/4"" x 5"""
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Labels,5.76,2,0.0,2.8224,OFF-LA-10001613,Avery File Folder Labels
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,16.68,6,0.0,4.3368,OFF-AR-10000246,Newell 318
Standard Class,Corporate,United States,Florence,South Carolina,29501,South,Office Supplies,Storage,628.81,7,0.0,12.5762,OFF-ST-10001809,Fellowes Officeware Wire Shelving
Standard Class,Corporate,United States,Florence,South Carolina,29501,South,Office Supplies,Storage,56.45,5,0.0,14.677,OFF-ST-10002214,X-Rack File for Hanging Folders
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,94.2,6,0.0,23.55,OFF-ST-10000649,Hanging Personal Folder File
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Envelopes,28.4,5,0.0,13.348,OFF-EN-10001990,Staple envelope
Standard Class,Corporate,United States,Huntsville,Texas,77340,Central,Furniture,Bookcases,956.6648,7,0.32,-225.0976,FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Accessories,1115.91,9,0.0,200.8638,TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Phones,128.744,7,0.2,-28.9674,TEC-PH-10003555,Motorola HK250 Universal Bluetooth Headset
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Phones,79.92,10,0.2,26.973,TEC-PH-10000702,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White"
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,24.2,5,0.0,7.986,OFF-AR-10003631,Staples in misc. colors
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Phones,359.976,3,0.2,130.4913,TEC-PH-10003072,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System
First Class,Home Office,United States,San Francisco,California,94122,West,Furniture,Furnishings,211.84,8,0.0,76.2624,FUR-FU-10000758,DAX Natural Wood-Tone Poster Frame
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Fasteners,5.68,2,0.2,1.917,OFF-FA-10000992,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes"
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Binders,7.52,5,0.2,2.632,OFF-BI-10004187,3-ring staple pack
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,11.96,2,0.0,5.8604,OFF-PA-10001947,Xerox 1974
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,Tables,629.064,3,0.2,31.4532,FUR-TA-10002356,Bevis Boat-Shaped Conference Table
Standard Class,Consumer,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,754.45,5,0.0,60.356,FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy"
Standard Class,Home Office,United States,Holyoke,Massachusetts,1040,East,Furniture,Bookcases,301.96,2,0.0,60.392,FUR-BO-10002824,Bush Mission Pointe Library
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105,West,Technology,Accessories,595.0,5,0.0,95.2,TEC-AC-10002842,WD My Passport Ultra 2TB Portable External Hard Drive
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Binders,79.872,3,0.2,29.952,OFF-BI-10002082,GBC Twin Loop Wire Binding Elements
Standard Class,Corporate,United States,Sparks,Nevada,89431,West,Technology,Machines,2396.4,10,0.2,179.73,TEC-MA-10000112,Panasonic KX MB2061 Multifunction Printer
Standard Class,Corporate,United States,Coachella,California,92236,West,Office Supplies,Storage,63.56,2,0.0,3.178,OFF-ST-10002289,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black"
Standard Class,Corporate,United States,Coachella,California,92236,West,Technology,Accessories,99.99,1,0.0,43.9956,TEC-AC-10004171,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset
Standard Class,Home Office,United States,Elmhurst,Illinois,60126,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,OFF-ST-10003656,Safco Industrial Wire Shelving
Standard Class,Home Office,United States,Elmhurst,Illinois,60126,Central,Office Supplies,Paper,9.664,2,0.2,3.2616,OFF-PA-10001560,"Adams Telephone Message Books, 5 1/4” x 11”"
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Technology,Accessories,158.928,7,0.2,41.7186,TEC-AC-10002473,Maxell 4.7GB DVD-R
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Binders,13.023,1,0.7,-10.4184,OFF-BI-10000632,Satellite Sectional Post Binders
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Furniture,Tables,273.06,2,0.4,-104.673,FUR-TA-10002645,Hon Rectangular Conference Tables
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Fasteners,39.312,13,0.2,12.7764,OFF-FA-10002975,Staples
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,1.344,4,0.8,-2.1504,OFF-BI-10003784,Computer Printout Index Tabs
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,8.272,4,0.8,-13.6488,OFF-BI-10001617,GBC Wire Binding Combs
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Furnishings,12.544,7,0.6,-9.0944,FUR-FU-10004415,"Stacking Tray, Side-Loading, Legal, Smoke"
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Labels,58.48,8,0.0,27.4856,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Furniture,Furnishings,7.4,2,0.0,3.034,FUR-FU-10001935,3M Hangers With Command Adhesive
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Chairs,366.786,7,0.1,65.2064,FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h"
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,Phones,54.368,4,0.2,4.0776,TEC-PH-10001536,Spigen Samsung Galaxy S5 Case Wallet
First Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Envelopes,33.96,2,0.0,16.98,OFF-EN-10001532,Brown Kraft Recycled Envelopes
First Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Appliances,826.11,3,0.0,322.1829,OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room
Standard Class,Consumer,United States,Farmington,New Mexico,87401,West,Furniture,Furnishings,545.85,9,0.0,114.6285,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
Second Class,Consumer,United States,Louisville,Colorado,80027,West,Furniture,Tables,145.98,2,0.5,-99.2664,FUR-TA-10000849,Bevis Rectangular Conference Tables
Second Class,Consumer,United States,Louisville,Colorado,80027,West,Office Supplies,Paper,35.808,4,0.2,12.5328,OFF-PA-10002259,"Geographics Note Cards, Blank, White, 8 1/2"" x 11"""
Standard Class,Consumer,United States,Tampa,Florida,33614,South,Furniture,Furnishings,7.904,2,0.2,2.1736,FUR-FU-10002597,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene"
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Phones,345.0,5,0.0,86.25,TEC-PH-10004614,AT&T 841000 Phone
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Furniture,Tables,174.286,2,0.3,-19.9184,FUR-TA-10003748,Bevis 36 x 72 Conference Tables
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Office Supplies,Appliances,662.84,4,0.0,172.3384,OFF-AP-10003217,Eureka Sanitaire  Commercial Upright
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Accessories,95.1,5,0.0,30.432,TEC-AC-10002399,SanDisk Cruzer 32 GB USB Flash Drive
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Office Supplies,Envelopes,26.88,6,0.0,12.9024,OFF-EN-10002973,Ampad #10 Peel & Seel Holiday Envelopes
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Phones,257.98,2,0.0,74.8142,TEC-PH-10001336,Digium D40 VoIP phone
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Envelopes,17.48,2,0.0,8.2156,OFF-EN-10000461,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes"
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,492.835,5,0.3,-14.081,FUR-CH-10000988,Hon Olson Stacker Stools
Second Class,Consumer,United States,North Charleston,South Carolina,29406,South,Office Supplies,Storage,269.49,3,0.0,5.3898,OFF-ST-10001809,Fellowes Officeware Wire Shelving
Standard Class,Home Office,United States,San Jose,California,95123,West,Office Supplies,Binders,29.12,5,0.2,9.828,OFF-BI-10003963,Cardinal Holdit Data Disk Pockets
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Labels,18.75,5,0.0,9.0,OFF-LA-10000081,Avery 496
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,119.7,6,0.0,31.122,TEC-PH-10000149,Cisco SPA525G2 IP Phone - Wireless
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,9.144,3,0.2,3.0861,OFF-BI-10000605,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red"
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,57.06,3,0.0,18.2592,TEC-AC-10002399,SanDisk Cruzer 32 GB USB Flash Drive
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,71.6,8,0.0,13.604,TEC-AC-10003038,Kingston Digital DataTraveler 16GB USB 2.0
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,107.44,8,0.0,27.9344,OFF-ST-10000344,"Neat Ideas Personal Hanging Folder Files, Black"
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Labels,7.31,1,0.0,3.4357,OFF-LA-10004093,Avery 486
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Art,59.1,6,0.0,22.458,OFF-AR-10001683,Lumber Crayons
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,46.53,3,0.0,12.0978,OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black"
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Office Supplies,Appliances,97.84,2,0.0,25.4384,OFF-AP-10002578,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote"
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Paper,29.97,3,0.0,13.4865,OFF-PA-10001763,Xerox 1896
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,98.352,3,0.2,34.4232,OFF-BI-10001597,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue"
